Post_ID,Post_URL,Post_Author_Name,Post_Author_Profile,Post_Author_JobTitle,Post_Time,Post_Content,Post_Reactions,Post_Comments,Post_Impressions,Date_Collected
7379285369881579520,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",4h • Edited •4 hours ago • Edited • Visible to anyone on or off LinkedIn,"Global health funding cuts profoundly impact people’s lives. Maddie and Emilie are making sure these stories are told, and I am inspired by them.",369,44,0,2025-10-02 03:09:10
7378861468055896064,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1d •1 day ago • Visible to anyone on or off LinkedIn,"I once thought geothermal energy could never supply more than 5 percent of the global energy mix. Today, I believe it could provide up to 20 percent of the world’s electricity.
Fervo Energy
is one of a handful of companies helping to prove that geothermal can be viable almost anywhere.",0,478,0,2025-10-02 03:09:10
7374471054368559104,https://www.linkedin.com/feed/update/urn:li:activity:7374471054368559104/,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",2d •2 days ago • Visible to anyone on or off LinkedIn,"This is an incredible resource for identifying opportunities, unlocking innovation, and scaling breakthrough technologies that can reduce emissions across industries.",968,120,0,2025-10-02 03:09:10
7378130899391008770,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",3d •3 days ago • Visible to anyone on or off LinkedIn,"Geothermal energy might soon become an option in more places around the world:
https://lnkd.in/gZBcwY26",0,395,0,2025-10-02 03:09:10
7377021163274878976,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",6d •6 days ago • Visible to anyone on or off LinkedIn,"This is how the
Gates Foundation
is thinking about AI’s potential.
hashtag
#
Goalkeepers2030",0,484,0,2025-10-02 03:09:10
7368836501415067648,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",4w •0 months ago • Visible to anyone on or off LinkedIn,"Bloodthirsty Ann—short for the Anopheles mosquito that carries malaria—would like to meet you! One of Dr. Seuss’ earliest illustrations was an informational U.S. Army cartoon that warned troops about the dangers of contracting the disease during wartime:
http://gatesnot.es/4g8w5kU",0,367,0,2025-10-02 03:09:15
7367638919565242368,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo •1 month ago • Visible to anyone on or off LinkedIn,"Some people think wisdom only comes with age, but Warren Buffett had more of it than the rest of us decades ago. Happy 95th birthday to a friend for the ages.",0,0,0,2025-10-02 03:09:15
7367310533005336577,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo • Edited •1 month ago • Edited • Visible to anyone on or off LinkedIn,"As global energy demand increases, innovative energy tech will be critical to ensuring affordable and reliable access for everyone.",0,365,0,2025-10-02 03:09:15
7366282070920192000,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo •1 month ago • Visible to anyone on or off LinkedIn,"America’s malaria crisis transformed how the country thought about disease, development, and public health:
https://lnkd.in/gNXSznyz",0,372,0,2025-10-02 03:09:15
7366236066279776256,,Bill GatesBill Gates,https://www.linkedin.com/in/williamhgates?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAAA8BYqEBCGLg_vT_ca6mMEqkpp9nVffJ3hc,"Chair, Gates Foundation and Founder, Breakthrough EnergyChair, Gates Foundation and Founder, Breakthrough Energy",1mo •1 month ago • Visible to anyone on or off LinkedIn,"For most of us in America, malaria is a distant concern—but that wasn’t always the case. In the 1800s and early 1900s, malaria was one of the most serious public health threats in the U.S.",0,618,0,2025-10-02 03:09:15
